Tyčinky krabí, ze surimi;;;;
Název nutrientu;Kód EuroFIR;Jednotka;Hodnota;Citace
Nutrienty základní;;;;
Energetická hodnota (kJ);ENERC;kJ;397;00012
Energetická hodnota (kcal);ENERC;kcal;94;00012
Bílkoviny celkové [NCF:6.25];PROT;g;7.6;00058
Dusík celkový;NT;g;1.2;00012
Tuky celkové [FACF:0.000];FAT;g;0.5;00058
Sacharidy celkové;CHOT;g;14.9;00012
Sacharidy využitelné;CHO;g;14.4;00012
Vláknina potravy;FIBT;g;0.5;00058
Voda celková;WATER;g;74.7;00058
Ethanol;ALC;g;0;00000
Popel;ASH;g;2.3;00058
Vitaminy;;;;
Vitamin B1 (thiamin);THIA;mg;0.03;00058
Vitamin B2 (riboflavin);RIBF;mg;0.08;00058
Niacin ekvivalent;NIAEQ;NE;;
Niacin;NIA;mg;;
Foláty celkové;FOL;μg;;
Kyselina pantothenová;PANTAC;mg;;
Vitamin B6 (pyridoxin);PYRXN;mg;;
Vitamin B12;VITB12;μg;;
Vitamin C;VITC;mg;0;00058
Vitamin A;VITA;RE;0;00012
Retinol;RETOL;μg;0;00000
beta-karoten;CARTB;μg;0;00000
Vitamin D;VITD;μg;;
Vitamin E;VITE;ATE;0.17;00012
alfa - tokoferol;TOCPHA;mg;0.17;00058
Minerální látky;;;;
Sodík;NA;mg;841;00058
Hořčík;MG;mg;43;00058
Fosfor;P;mg;282;00058
Draslík;K;mg;90;00058
Vápník;CA;mg;13;00058
Železo;FE;mg;0.4;00058
Měď;CU;mg;;
Zinek;ZN;mg;;
Selen;SE;μg;;
Jód;ID;μg;;
Sůl;NACL;g;2.1;00012
Cukry, škrob, polyoly, organické kyseliny;;;;
Cukry celkové;SUGAR;g;6.3;00012
Fruktosa;FRUS;g;0.6;00058
Glukosa;GLUS;g;2.7;00058
Laktosa;LACS;g;0;00058
Maltosa;MALS;g;0;00058
Sacharosa;SUCS;g;3.0;00058
Škrob;STARCH;g;7.6;00058
Organické kyseliny;OA;g;;
Polyoly;POLY;g;;
Mastné kyseliny a cholesterol;;;;
Nasycené mastné kyseliny;FASAT;g;0.16;00012
C 4:0;F4:0;g;;
C 6:0;F6:0;g;;
C 8:0;F8:0;g;;
C 10:0;F10:0;g;;
C 12:0;F12:0;g;0.01;00058
C 13:0;F13:0;g;;
C 14:0;F14:0;g;0.02;00058
C 15:0;F15:0;g;;
C 16:0;F16:0;g;0.09;00058
C 17:0;F17:0;g;;
C 18:0;F18:0;g;0.04;00058
C 20:0;F20:0;g;;
C 22:0;F22:0;g;;
Mononenasycené mastné kyseliny;FAMS;g;0.11;00012
C 14:1;F14:1CN5;g;;
C 16:1;F16:1CN7;g;0.01;00058
C 17:1;F17:1;g;;
C 18:1, n-9;F18:1CN9;g;0.10;00058
C 20:1, n-11;F20:1CN11;g;;
C 22:1, n-9;F22:1CN9;g;;
Polynenasycené mastné kyseliny;FAPU;g;0.10;00012
n-6 mastné kyseliny;FACN6;g;0.07;00012
C 18:2, n-6;F18:2CN6;g;0.07;00058
C 18:3, n-6;F18:3CN6;g;;
C 20:4, n-6;F20:4CN6;g;0;00058
n-3 mastné kyseliny;FACN3;g;0.01;00012
C 18:3, n-3;F18:3CN3;g;0.01;00058
C 20:5, n-3 (EPA);F20:5CN3;g;0;00058
C 22:5, n-3 (DPA);F22:5CN3;g;0;00058
C 22:6, n-3 (DHA);F22:6CN3;g;0.02;00058
Trans- mastné kyseliny;FATRN;g;0.01;00012
C 18:1, n-9 trans;F18:1TN9;g;0.01;00058
C 18:2, n-6 trans;F18:2 TTN6;g;;
Cholesterol;CHORL;mg;20;00058
Aminokyseliny;;;;
Glycin;GLY;mg;;
Alanin;ALA;mg;;
Valin;VAL;mg;;
Leucin;LEU;mg;;
Isoleucin;ILE;mg;;
Serin;SER;mg;;
Threonin;THR;mg;;
Lysin;LYS;mg;;
Asparagová kyselina;ASP;mg;;
Glutamová kyselina;GLU;mg;;
Arginin;ARG;mg;;
Cystein;CYS;mg;;
Methionin;MET;mg;;
Fenylalanin;PHE;mg;;
Tyrosin;TYR;mg;;
Tryptofan;TRP;mg;;
Histidin;HIS;mg;;
Prolin;PRO;mg;;
